customer_id,full_name,phone_number,email_address,city_id,current_address,annual_income,cibil_score,employemnet_type,employer_name,date_of_birth,gender,eduction_level
1,Dayita Bakshi,917486879361,dayita.bakshi680@yahoo.com,1002,"218, Sami Zila, Ludhiana 338908",1156843,832,Government Employee,Public Sector Bank,18-09-1995,Female,Bachelors
2,Hardik Saini,918893807924,hardik.saini599@yahoo.com,1010,40/26 Mall Path Thrissur-116155,310385.0625,672,Private Employee,Tech Solutions Ltd,16-07-1995,Male,Diploma
3,Libni Bassi,918288939172,libni.bassi694@hotmail.com,1027,"18, Pathak Road, Coimbatore-341316",1925882.375,668,Business Owner,Own Business,12-10-2003,Female,Bachelors
4,Liam Setty,917068528481,liam.setty637@hotmail.com,1027,"H.No. 53, Bora Road, Deoghar 276483",349506.7813,606,Self Employed,Self Employed,10-06-2003,Male,Bachelors
5,Omaja Bhalla,919789173738,omaja.bhalla245@outlook.com,1001,"H.No. 64, Kakar Zila Rajpur Sonarpur-672423",151329.2344,600,Student,Part-time Work,09-09-1996,Female,Bachelors
6,Lekha Sangha,919367704310,lekha.sangha33@yahoo.com,1023,"287 Batta Zila, Jamnagar-691669",616352.875,566,Self Employed,Independent Contractor,09-01-1998,Female,Bachelors
7,Vivaan Wadhwa,918441540984,vivaan.wadhwa376@hotmail.com,1019,"18/451, Saran Road, Malda 482814",451306,708,Business Owner,Family Business,07-07-1997,Male,Masters
8,Zehaan Issac,917364193040,zehaan.issac825@outlook.com,1028,880 Naik Surat-543039,438643.5,759,Government Employee,DRDO,09-12-1998,Male,Diploma
9,Balveer Chada,918017672434,balveer.chada798@gmail.com,1024,"22/78, Lanka Street, Rajpur Sonarpur-465787",232829.5156,517,Self Employed,Self Employed,26-03-2005,Male,Bachelors
10,Darpan Kota,918978962006,darpan.kota647@outlook.com,1023,"H.No. 09, Karpe Circle Chennai-031051",609964,814,Business Owner,Trading Company,28-06-2004,Male,Bachelors
11,Jagat Mallick,917016497552,jagat.mallick444@yahoo.com,1025,"29/97, Solanki Ganj, Jhansi-165667",394218.9688,542,Private Employee,Accenture,05-12-1993,Male,Bachelors
12,Avi Chaudhari,917799142588,avi.chaudhari481@outlook.com,1023,51/333 Sen Circle Bhusawal 473178,417171.125,799,Government Employee,ISRO,21-06-1999,Male,Masters
13,Chandran Bedi,917813233104,chandran.bedi717@gmail.com,1011,"267, Kala Chowk Allahabad 606474",393261.1563,585,Private Employee,Infosys,17-03-2000,Male,Bachelors
14,Udyati Sur,919751334491,udyati.sur293@yahoo.com,1030,"H.No. 30, Bhat Howrah-978820",781751.0625,682,Private Employee,Amazon,06-04-2005,Female,Bachelors
15,Yashoda Buch,917692624346,yashoda.buch67@gmail.com,1026,"13/61, Koshy Udupi-699854",790777.3125,656,Private Employee,Infosys,17-04-2004,Female,Bachelors
